--- Debug Log Started: 2025-08-02 01:03:30 ---
🚫🐛 [03.42] [debug_logic.py | v20250802.0070.2 | set_debug_mode] Debug mode set to: True. Let the debugging begin!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'reference_level_dbm_var' with value '-90'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'freq_shift_hz_var' with value '0'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'maxhold_enabled_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'high_sensitivity_var' with value 'False'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'preamp_on_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'scan_rbw_segmentation_var' with value '1000000.0'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'desired_default_focus_width_var' with value '10000.0'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'operator_name_var' with value 'Anthony Peter Kuzub'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'operator_contact_var' with value 'I@Like.audio'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'venue_name_var' with value 'My Venue'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'venue_postal_code_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'address_field_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'city_var' with value 'Whitby'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'province_var' with value 'Ontario'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'scanner_type_var' with value 'Unknown'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'selected_antenna_type_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_description_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_use_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_mount_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'selected_amplifier_type_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_amplifier_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'amplifier_description_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'amplifier_use_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'notes_var' with value 'Enter any notes about the scan here.'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_selected_preset_name_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_loaded_preset_center_freq_mhz_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_loaded_preset_span_mhz_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_loaded_preset_rbw_hz_var' with value ''. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_gov_markers_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_tv_markers_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_markers_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_scan_intermod_markers_var' with value 'False'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'open_html_after_complete_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'create_html_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_gov_markers_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_tv_markers_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_markers_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_intermod_markers_var' with value 'False'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_average_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_median_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_range_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_standard_deviation_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_variance_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_psd_var' with value 'True'. Data stored!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Saved selected bands: ['Low VHF+FM', 'High VHF+216', 'UHF 400-500', 'UHF 600-700', 'UHF 700-800', 'UHF 800-900', 'ISM-STL 900-970', 'AFTRCC 1430-1540', 'DECT-ALL 1880-2000', 'Cams Lower 2G-2.2G', 'Cams Upper 2.4G-2.4G']. Bands persisted!
🚫🐛 [06.24] [config_manager.py | v20250802.0015.1 | save_config] Configuration successfully saved to C:\Users\4483\OneDrive\Documents\GitHub\Spectrum-Automation---ZAP\50 - Python Code\OPEN-AIR\DATA\config.ini. Mission accomplished!
🚫🐛 [06.25] [main_app.py | v20250802.0070.3 | callback] Tkinter variable 'band_var_UHF 400-500' changed. Saving config.
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saving configuration to C:\Users\4483\OneDrive\Documents\GitHub\Spectrum-Automation---ZAP\50 - Python Code\OPEN-AIR\DATA\config.ini. Persisting changes!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'general_debug_enabled_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'log_visa_commands_enabled_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'debug_to_terminal_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'debug_to_file_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_console_messages_to_debug_file_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'paned_window_sash_position_var' with value '700'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'selected_resource' with value 'N/A'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'center_freq_hz_var' with value '2400000000.0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'span_hz_var' with value '100000000.0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'rbw_hz_var' with value '10000.0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'vbw_hz_var' with value '3000.0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'scan_name_var' with value 'New Scan'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'output_folder_var' with value 'C:\Users\4483\Documents\OPEN-AIR-Scans'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'num_scan_cycles_var' with value '1'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'rbw_step_size_hz_var' with value '10'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'cycle_wait_time_seconds_var' with value '0.5'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'maxhold_time_seconds_var' with value '5.0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'scan_rbw_hz_var' with value '10000'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'reference_level_dbm_var' with value '-90'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'freq_shift_hz_var' with value '0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'maxhold_enabled_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'high_sensitivity_var' with value 'False'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'preamp_on_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'scan_rbw_segmentation_var' with value '1000000.0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'desired_default_focus_width_var' with value '10000.0'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'operator_name_var' with value 'Anthony Peter Kuzub'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'operator_contact_var' with value 'I@Like.audio'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'venue_name_var' with value 'My Venue'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'venue_postal_code_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'address_field_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'city_var' with value 'Whitby'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'province_var' with value 'Ontario'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'scanner_type_var' with value 'Unknown'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'selected_antenna_type_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_description_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_use_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_mount_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'selected_amplifier_type_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'antenna_amplifier_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'amplifier_description_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'amplifier_use_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'notes_var' with value 'Enter any notes about the scan here.'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_selected_preset_name_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_loaded_preset_center_freq_mhz_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_loaded_preset_span_mhz_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'last_loaded_preset_rbw_hz_var' with value ''. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_gov_markers_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_tv_markers_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_markers_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_scan_intermod_markers_var' with value 'False'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'open_html_after_complete_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'create_html_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_gov_markers_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_tv_markers_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_markers_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'avg_include_intermod_markers_var' with value 'False'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_average_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_median_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_range_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_standard_deviation_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_variance_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'math_psd_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved selected bands: ['Low VHF+FM', 'High VHF+216', 'UHF 600-700', 'UHF 700-800', 'UHF 800-900', 'ISM-STL 900-970', 'AFTRCC 1430-1540', 'DECT-ALL 1880-2000', 'Cams Lower 2G-2.2G', 'Cams Upper 2.4G-2.4G']. Bands persisted!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Configuration successfully saved to C:\Users\4483\OneDrive\Documents\GitHub\Spectrum-Automation---ZAP\50 - Python Code\OPEN-AIR\DATA\config.ini. Mission accomplished!
🚫🐛 [06.25] [main_app.py | v20250802.0070.3 | callback] Tkinter variable 'band_var_UHF 500-600' changed. Saving config.
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saving configuration to C:\Users\4483\OneDrive\Documents\GitHub\Spectrum-Automation---ZAP\50 - Python Code\OPEN-AIR\DATA\config.ini. Persisting changes!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'general_debug_enabled_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'log_visa_commands_enabled_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'debug_to_terminal_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'debug_to_file_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'include_console_messages_to_debug_file_var' with value 'True'. Data stored!
🚫🐛 [06.25] [config_manager.py | v20250802.0015.1 | save_config] Saved 'paned_window_sash_position_var' with value '700'. Data stored!
